[[datetime.datetime(2020, 2, 5, 14, 45, 23, 228242)], [17.88], [30.0], [34.14], [23.8], [44.23], [39.99], [16.2], [8.99], [8.99], [8.99]]
[[datetime.datetime(2020, 2, 5, 14, 49, 35, 480366)], [17.88], [30.0], [34.14], [23.8], [44.23], [39.99], [16.2], [8.99], [8.99], [8.99]]
[[datetime.datetime(2020, 2, 5, 14, 51, 21, 635247)], [17.88], [30.0], [34.14], [23.8], [44.23], [39.99], [16.2], [8.99], [8.99], [8.99]]
[[datetime.datetime(2020, 2, 5, 15, 48, 35, 640188)], [17.88], [30.0], [34.14], [23.8], [44.23], [39.99], [16.2], [8.99], [8.99], [8.99]]
[[datetime.datetime(2020, 2, 5, 15, 50, 33, 550245)], [17.88], [30.0], [34.14], [23.8], [44.23], [39.99], [16.2], [8.99], [8.99], [8.99]]
[[datetime.datetime(2020, 2, 5, 16, 50, 57, 985709)], [17.88], [30.0], [34.14], [23.8], [44.23], [39.99], [16.2], [8.99], [8.99], [8.99]]
[[datetime.datetime(2020, 2, 5, 17, 51, 23, 406386)], [17.63], [30.0], [34.14], [23.8], [44.23], [39.99], [16.2], [8.99], [8.99], [8.99]]
[[datetime.datetime(2020, 2, 5, 18, 51, 48, 193229)], [17.88], [30.0], [34.14], [23.8], [44.23], [39.99], [16.2], [8.99], [8.99], [8.99]]
[[datetime.datetime(2020, 2, 5, 19, 52, 13, 285026)], [17.88], [30.0], [34.14], [23.8], [44.23], [39.99], [16.2], [8.99], [8.99], [8.99]]
[[datetime.datetime(2020, 2, 5, 20, 52, 38, 945942)], [17.88], [30.0], [34.14], [23.8], [44.23], [39.99], [16.2], [8.99], [8.99], [8.99]]
[[datetime.datetime(2020, 2, 5, 21, 53, 4, 465824)], [17.88], [30.0], [34.14], [23.8], [44.23], [39.99], [16.2], [8.99], [8.99], [8.99]]
[[datetime.datetime(2020, 2, 5, 22, 53, 28, 600572)], [17.88], [30.0], [34.14], [23.78], [44.23], [39.99], [16.2], [8.99], [8.99], [8.99]]
[[datetime.datetime(2020, 2, 5, 23, 53, 52, 734125)], [17.88], [30.0], [34.14], [23.78], [44.23], [39.99], [16.2], [8.99], [8.99], [8.99]]
[[datetime.datetime(2020, 2, 6, 0, 54, 16, 594294)], [17.88], [30.0], [34.14], [23.78], [44.23], [39.99], [16.2], [8.99], [8.99], [8.99]]
[[datetime.datetime(2020, 2, 6, 1, 54, 40, 546021)], [17.88], [30.0], [34.14], [23.78], [44.23], [39.99], [16.2], [8.99], [8.99], [8.99]]
[[datetime.datetime(2020, 2, 6, 2, 55, 4, 421098)], [17.88], [30.0], [34.14], [23.78], [44.23], [39.99], [16.2], [8.99], [8.99], [8.99]]
[[datetime.datetime(2020, 2, 6, 3, 55, 28, 181567)], [17.88], [30.0], [34.14], [23.78], [44.23], [39.99], [16.2], [8.99], [8.99], [8.99]]
[[datetime.datetime(2020, 2, 6, 4, 55, 51, 754793)], [17.88], [30.0], [34.14], [23.78], [44.23], [39.99], [16.2], [8.99], [8.99], [8.99]]
[[datetime.datetime(2020, 2, 6, 5, 56, 15, 660160)], [17.88], [30.0], [34.14], [23.78], [44.23], [39.99], [16.2], [8.99], [8.99], [8.99]]
[[datetime.datetime(2020, 2, 6, 6, 56, 38, 896108)], [17.88], [30.0], [34.14], [23.78], [44.23], [39.99], [16.2], [8.99], [8.99], [8.99]]
[[datetime.datetime(2020, 2, 6, 7, 57, 2, 155552)], [17.88], [30.0], [34.14], [23.76], [44.23], [39.99], [16.2], [8.99], [8.99], [8.99]]
[[datetime.datetime(2020, 2, 6, 8, 57, 25, 608617)], [17.88], [30.0], [34.14], [23.76], [44.23], [39.99], [16.2], [8.99], [8.99], [8.99]]
[[datetime.datetime(2020, 2, 6, 9, 57, 49, 984942)], [17.88], [30.0], [34.14], [23.76], [44.23], [39.99], [16.2], [8.99], [8.99], [8.99]]
[[datetime.datetime(2020, 2, 6, 10, 58, 13, 876237)], [17.88], [30.0], [34.14], [23.76], [44.23], [39.99], [16.2], [8.99], [8.99], [8.99]]
